
2024/04/20 (20:46:11) | ===> btop++ v.1.2.13
2024/04/20 (20:46:11) | ERROR: Stall in Runner thread, restarting!
2024/04/20 (20:47:13) | ERROR: Stall in Runner thread, restarting!
2024/04/20 (20:47:35) | ERROR: Stall in Runner thread, restarting!
2024/04/20 (20:47:59) | ERROR: Stall in Runner thread, restarting!
2024/04/20 (20:48:18) | ERROR: Stall in Runner thread, restarting!

2024/05/15 (17:16:14) | ===> btop++ v.1.3.2
2024/05/15 (17:16:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/15 (17:18:28) | ===> btop++ v.1.3.2
2024/05/15 (17:18:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/15 (17:18:34) | ===> btop++ v.1.3.2
2024/05/15 (17:18:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/15 (17:19:05) | ===> btop++ v.1.3.2
2024/05/15 (17:19:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/15 (17:19:11) | ===> btop++ v.1.3.2
2024/05/15 (17:19:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/15 (17:19:52) | ===> btop++ v.1.3.2
2024/05/15 (17:19:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (16:36:32) | ===> btop++ v.1.3.2
2024/05/16 (16:36:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (16:36:53) | ===> btop++ v.1.3.2
2024/05/16 (16:36:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (16:37:02) | ===> btop++ v.1.3.2
2024/05/16 (16:37:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (16:37:40) | ===> btop++ v.1.3.2
2024/05/16 (16:37:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (16:54:00) | ===> btop++ v.1.3.2
2024/05/16 (16:54:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (17:48:11) | ===> btop++ v.1.3.2
2024/05/16 (17:48:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (17:01:07) | ===> btop++ v.1.3.2
2024/05/20 (17:01:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (17:41:57) | ===> btop++ v.1.3.2
2024/05/20 (17:41:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

